NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00000620,nan,nan,nan,nan
NCT00126737,"{""precision"": 0.3333333333333333, ""recall"": 0.25, ""f1"": 0.28571428571428575}","{""precision"": 0.1, ""recall"": 0.16666666666666666, ""f1"": 0.125}","{""precision"": 0.18181818181818182, ""recall"": 0.16666666666666666, ""f1"": 0.17391304347826086}","{""precision"": 0.25, ""recall"": 0.25, ""f1"": 0.25}"
NCT00283686,"{""precision"": 0.09523809523809523, ""recall"": 0.05263157894736842, ""f1"": 0.06779661016949153}","{""precision"": 0.2631578947368421, ""recall"": 0.13157894736842105, ""f1"": 0.17543859649122803}","{""precision"": 0.3125, ""recall"": 0.13157894736842105, ""f1"": 0.18518518518518517}","{""precision"": 0.2, ""recall"": 0.10526315789473684, ""f1"": 0.13793103448275862}"
NCT00329030,"{""precision"": 0.13043478260869565, ""recall"": 0.375, ""f1"": 0.19354838709677416}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT00360334,"{""precision"": 0.4, ""recall"": 0.6666666666666666, ""f1"": 0.5}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.4, ""recall"": 0.6666666666666666, ""f1"": 0.5}","{""precision"": 0.3, ""recall"": 0.6666666666666666, ""f1"": 0.41379310344827586}"
NCT00395746,"{""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1"": 0.5}","{""precision"": 0.2777777777777778, ""recall"": 1.0, ""f1"": 0.4347826086956522}","{""precision"": 0.3076923076923077, ""recall"": 0.8, ""f1"": 0.4444444444444444}","{""precision"": 0.38461538461538464, ""recall"": 1.0, ""f1"": 0.5555555555555556}"
NCT00419562,"{""precision"": 0.21428571428571427, ""recall"": 0.3, ""f1"": 0.25}","{""precision"": 0.3125, ""recall"": 0.5, ""f1"": 0.38461538461538464}","{""precision"": 0.25, ""recall"": 0.3, ""f1"": 0.2727272727272727}","{""precision"": 0.2727272727272727, ""recall"": 0.3, ""f1"": 0.28571428571428564}"
NCT00441064,"{""precision"": 0.3, ""recall"": 0.23076923076923078, ""f1"": 0.2608695652173913}","{""precision"": 0.3, ""recall"": 0.46153846153846156, ""f1"": 0.3636363636363637}","{""precision"": 0.23076923076923078, ""recall"": 0.23076923076923078, ""f1"": 0.23076923076923078}","{""precision"": 0.3125, ""recall"": 0.38461538461538464, ""f1"": 0.3448275862068966}"
NCT00490529,"{""precision"": 0.10526315789473684, ""recall"": 0.25, ""f1"": 0.14814814814814814}","{""precision"": 0.13333333333333333, ""recall"": 0.25, ""f1"": 0.1739130434782609}","{""precision"": 0.15384615384615385, ""recall"": 0.25, ""f1"": 0.1904761904761905}","{""precision"": 0.2, ""recall"": 0.375, ""f1"": 0.26086956521739135}"
NCT00552409,"{""precision"": 0.14285714285714285, ""recall"": 0.25, ""f1"": 0.18181818181818182}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.3333333333333333, ""recall"": 0.625, ""f1"": 0.43478260869565216}"
NCT00556933,"{""precision"": 0.2222222222222222, ""recall"": 0.18181818181818182, ""f1"": 0.19999999999999998}","{""precision"": 0.17391304347826086, ""recall"": 0.18181818181818182, ""f1"": 0.17777777777777776}","{""precision"": 0.2, ""recall"": 0.13636363636363635, ""f1"": 0.16216216216216214}","{""precision"": 0.23529411764705882, ""recall"": 0.18181818181818182, ""f1"": 0.20512820512820512}"
NCT00568178,"{""precision"": 0.2857142857142857, ""recall"": 0.3333333333333333, ""f1"": 0.30769230769230765}","{""precision"": 0.375, ""recall"": 0.5, ""f1"": 0.42857142857142855}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.42857142857142855, ""recall"": 0.5, ""f1"": 0.4615384615384615}"
NCT00618072,"{""precision"": 0.3333333333333333, ""recall"": 0.2222222222222222, ""f1"": 0.26666666666666666}","{""precision"": 0.38095238095238093, ""recall"": 0.4444444444444444, ""f1"": 0.41025641025641024}","{""precision"": 0.2777777777777778, ""recall"": 0.2777777777777778, ""f1"": 0.2777777777777778}","{""precision"": 0.6111111111111112, ""recall"": 0.6111111111111112, ""f1"": 0.6111111111111112}"
NCT00713830,"{""precision"": 0.1724137931034483, ""recall"": 0.3125, ""f1"": 0.22222222222222224}","{""precision"": 0.3684210526315789, ""recall"": 0.4375, ""f1"": 0.39999999999999997}","{""precision"": 0.4117647058823529, ""recall"": 0.4375, ""f1"": 0.42424242424242425}","{""precision"": 0.4117647058823529, ""recall"": 0.4375, ""f1"": 0.42424242424242425}"
NCT00751114,"{""precision"": 0.4, ""recall"": 0.36363636363636365, ""f1"": 0.380952380952381}","{""precision"": 0.45, ""recall"": 0.4090909090909091, ""f1"": 0.4285714285714286}","{""precision"": 0.42857142857142855, ""recall"": 0.2727272727272727, ""f1"": 0.33333333333333326}","{""precision"": 0.42857142857142855, ""recall"": 0.2727272727272727, ""f1"": 0.33333333333333326}"
NCT00781937,"{""precision"": 0.0625, ""recall"": 0.125, ""f1"": 0.08333333333333333}","{""precision"": 0.17391304347826086, ""recall"": 0.5, ""f1"": 0.25806451612903225}","{""precision"": 0.2727272727272727, ""recall"": 0.75, ""f1"": 0.39999999999999997}","{""precision"": 0.2222222222222222, ""recall"": 0.5, ""f1"": 0.30769230769230765}"
NCT00791479,"{""precision"": 0.3888888888888889, ""recall"": 0.7, ""f1"": 0.5}","{""precision"": 0.4117647058823529, ""recall"": 0.7, ""f1"": 0.5185185185185185}","{""precision"": 0.47058823529411764, ""recall"": 0.8, ""f1"": 0.5925925925925927}","{""precision"": 0.42105263157894735, ""recall"": 0.8, ""f1"": 0.5517241379310345}"
NCT00793455,"{""precision"": 0.25, ""recall"": 0.7142857142857143, ""f1"": 0.37037037037037035}","{""precision"": 0.26666666666666666, ""recall"": 0.5714285714285714, ""f1"": 0.36363636363636365}","{""precision"": 0.15384615384615385, ""recall"": 0.2857142857142857, ""f1"": 0.2}","{""precision"": 0.2727272727272727, ""recall"": 0.42857142857142855, ""f1"": 0.33333333333333326}"
NCT00819182,"{""precision"": 0.35714285714285715, ""recall"": 0.25, ""f1"": 0.2941176470588235}","{""precision"": 0.4, ""recall"": 0.3, ""f1"": 0.34285714285714286}","{""precision"": 0.5263157894736842, ""recall"": 0.5, ""f1"": 0.5128205128205129}","{""precision"": 0.5714285714285714, ""recall"": 0.4, ""f1"": 0.47058823529411764}"
NCT00863746,"{""precision"": 0.15789473684210525, ""recall"": 0.375, ""f1"": 0.22222222222222218}","{""precision"": 0.15789473684210525, ""recall"": 0.375, ""f1"": 0.22222222222222218}","{""precision"": 0.17647058823529413, ""recall"": 0.375, ""f1"": 0.24}","{""precision"": 0.1875, ""recall"": 0.375, ""f1"": 0.25}"
NCT00896181,"{""precision"": 0.16666666666666666, ""recall"": 0.5, ""f1"": 0.25}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}","{""precision"": 0.13636363636363635, ""recall"": 0.5, ""f1"": 0.21428571428571427}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}"
NCT00917267,"{""precision"": 0.38461538461538464, ""recall"": 0.625, ""f1"": 0.4761904761904762}","{""precision"": 0.3333333333333333, ""recall"": 0.75, ""f1"": 0.46153846153846156}","{""precision"": 0.2777777777777778, ""recall"": 0.625, ""f1"": 0.3846153846153846}","{""precision"": 0.3333333333333333, ""recall"": 0.75, ""f1"": 0.46153846153846156}"
NCT00949884,"{""precision"": 0.18518518518518517, ""recall"": 0.5555555555555556, ""f1"": 0.2777777777777778}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.46153846153846156, ""recall"": 0.6666666666666666, ""f1"": 0.5454545454545455}","{""precision"": 0.42857142857142855, ""recall"": 0.6666666666666666, ""f1"": 0.5217391304347826}"
NCT00962247,"{""precision"": 0.42857142857142855, ""recall"": 0.42857142857142855, ""f1"": 0.42857142857142855}","{""precision"": 0.15789473684210525, ""recall"": 0.42857142857142855, ""f1"": 0.23076923076923078}","{""precision"": 0.2727272727272727, ""recall"": 0.42857142857142855, ""f1"": 0.33333333333333326}","{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}"
NCT00967668,"{""precision"": 0.25, ""recall"": 0.375, ""f1"": 0.3}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.2857142857142857, ""recall"": 0.5, ""f1"": 0.36363636363636365}","{""precision"": 0.2, ""recall"": 0.375, ""f1"": 0.26086956521739135}"
NCT01000480,"{""precision"": 0.13793103448275862, ""recall"": 0.5, ""f1"": 0.2162162162162162}","{""precision"": 0.23076923076923078, ""recall"": 0.75, ""f1"": 0.3529411764705882}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.2, ""recall"": 0.625, ""f1"": 0.30303030303030304}"
NCT01031680,"{""precision"": 0.2, ""recall"": 0.17647058823529413, ""f1"": 0.18750000000000003}","{""precision"": 0.3125, ""recall"": 0.29411764705882354, ""f1"": 0.30303030303030304}","{""precision"": 0.23529411764705882, ""recall"": 0.23529411764705882, ""f1"": 0.23529411764705882}","{""precision"": 0.3125, ""recall"": 0.29411764705882354, ""f1"": 0.30303030303030304}"
NCT01101880,"{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.06666666666666667, ""recall"": 0.125, ""f1"": 0.08695652173913045}"
NCT01279109,"{""precision"": 0.25, ""recall"": 0.16666666666666666, ""f1"": 0.2}","{""precision"": 0.36363636363636365, ""recall"": 0.3333333333333333, ""f1"": 0.34782608695652173}","{""precision"": 0.3125, ""recall"": 0.4166666666666667, ""f1"": 0.35714285714285715}","{""precision"": 0.23809523809523808, ""recall"": 0.4166666666666667, ""f1"": 0.30303030303030304}"
NCT01357551,"{""precision"": 0.2, ""recall"": 0.21052631578947367, ""f1"": 0.20512820512820512}","{""precision"": 0.25, ""recall"": 0.2631578947368421, ""f1"": 0.25641025641025644}","{""precision"": 0.3157894736842105, ""recall"": 0.3157894736842105, ""f1"": 0.3157894736842105}","{""precision"": 0.4, ""recall"": 0.42105263157894735, ""f1"": 0.41025641025641024}"
NCT01435603,"{""precision"": 0.2, ""recall"": 0.25, ""f1"": 0.22222222222222224}","{""precision"": 0.42105263157894735, ""recall"": 0.5, ""f1"": 0.45714285714285713}","{""precision"": 0.3888888888888889, ""recall"": 0.4375, ""f1"": 0.411764705882353}","{""precision"": 0.45, ""recall"": 0.5625, ""f1"": 0.5}"
NCT01441973,"{""precision"": 0.4, ""recall"": 0.36363636363636365, ""f1"": 0.380952380952381}","{""precision"": 0.25, ""recall"": 0.2727272727272727, ""f1"": 0.2608695652173913}","{""precision"": 0.3333333333333333, ""recall"": 0.36363636363636365, ""f1"": 0.34782608695652173}","{""precision"": 0.18181818181818182, ""recall"": 0.18181818181818182, ""f1"": 0.18181818181818182}"
NCT01483560,nan,nan,nan,nan
